id,group,variable,type,value,unit,location,metadata,time,created_at
"62d978603d4ee00011b2fdee,dedf2b11000ee4d306879d26,payload,string,0 F0 93 53 7E,,,""{""""mqtt_topic"""":""""teste""""}"",2022-07-21 16:01:36.051,2022-07-21 16:01:36.052"
"62d978713d4ee00011b2fe58,75ef2b11000ee4d317879d26,payload,string,1 21 45 71 1A,,,""{""""mqtt_topic"""":""""teste""""}"",2022-07-21 16:01:53.836,2022-07-21 16:01:53.836"
"62d978823d4ee00011b2fef3,2fef2b11000ee4d328879d26,payload,string,1 F0 93 53 7E,,,""{""""mqtt_topic"""":""""teste""""}"",2022-07-21 16:02:10.055,2022-07-21 16:02:10.055"
"62d9788b3d4ee00011b2ff17,61ff2b11000ee4d3b8879d26,payload,string,0 21 45 71 1A,,,""{""""mqtt_topic"""":""""teste""""}"",2022-07-21 16:02:19.008,2022-07-21 16:02:19.008"
"62d9789c3d4ee00011b2ff73,27ff2b11000ee4d3c9879d26,payload,string,0 A0 C0 76 89,,,""{""""mqtt_topic"""":""""teste""""}"",2022-07-21 16:02:36.747,2022-07-21 16:02:36.747"
"62d978a33d4ee00011b2ffbe,dbff2b11000ee4d33a879d26,payload,string,0 2A C0 08 0C,,,""{""""mqtt_topic"""":""""teste""""}"",2022-07-21 16:02:43.15,2022-07-21 16:02:43.15"
"62d978ae3d4ee00011b2fff1,0fff2b11000ee4d3ea879d26,payload,string,1 2A C0 08 0C,,,""{""""mqtt_topic"""":""""teste""""}"",2022-07-21 16:02:54.764,2022-07-21 16:02:54.765"
"62d978b43d4ee00011b30022,12003b11000ee4d34b879d26,payload,string,1 A0 C0 76 89,,,""{""""mqtt_topic"""":""""teste""""}"",2022-07-21 16:03:00.808,2022-07-21 16:03:00.808"
"62d978d93d4ee00011b30178,77103b11000ee4d39d879d26,payload,string,0 27 02 0E FD,,,""{""""mqtt_topic"""":""""teste""""}"",2022-07-21 16:03:37.886,2022-07-21 16:03:37.886"
"62d978df3d4ee00011b30192,19103b11000ee4d3fd879d26,payload,string,1 27 02 0E FD,,,""{""""mqtt_topic"""":""""teste""""}"",2022-07-21 16:03:43.668,2022-07-21 16:03:43.668"
